pubblicata_da;anno_rif;tipologia_opera_incompiuta;perc_avanzamento;mancanza_fondi;cause_tecniche;importo_complessivo;natura_opera;tipologia_cup;ambito_oggettivo;categoria;comunitaria;data_assegnazione_cup;lat;lon;indirizzo;distance_from_you
regione siciliana;2016;a;18.02;no;si;727265.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altri servizi per la collettivita';None;2006-09-07;36.7055441393131;15.076909493362;None;721.94851179683
regione siciliana;2016;b;9.51;si;None;504904.44;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2013-06-04;36.75917662081;14.9329675586904;via dell'architettura;713.2213921394571
regione siciliana;2016;b;47.5;no;no;729850.33;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2013-07-03;36.8208346485807;14.5214282731145;via circonvallazione;699.2018741499146
regione siciliana;2016;c;100.0;None;None;377813.14;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre strutture ricreative;None;2015-07-24;36.7873448969634;11.9945169830812;via kazen;696.1050574070497
regione siciliana;2016;c;96.29;None;None;1881876.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2015-07-24;36.7873448969634;11.9945169830812;varie localit?;696.1050574070497
regione siciliana;2016;a;21.77;si;None;431187.29;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;residenze sanitarie assistenziali;None;2015-07-24;36.7873448969634;11.9945169830812;via roma;696.1050574070497
regione siciliana;2016;b;59.04;no;no;700378.31;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;chiese ed altri luoghi di culto;None;2010-09-28;36.9069959713245;14.6641849488022;cda cisternazzi;692.1588493851237
regione siciliana;2016;b;24.42;no;no;274927.04;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2013-07-02;36.9069959713245;14.6641849488022;via cesare terranova;692.1588493851237
regione siciliana;2016;b;26.2;no;no;276098.36;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2013-07-03;37.0115068788632;14.4420068047717;via manzoni-via balilla;677.0902786304763
regione siciliana;2016;a;2.45;si;no;45000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2017-03-29;37.2108836353951;15.0996105591459;cda cavittula;667.9643474228085
regione siciliana;2016;b;14.44;si;no;688717.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;reti idriche urbane;None;2014-01-28;37.1385159183789;14.6777029253436;via centro abitato;667.1772466319912
regione siciliana;2016;b;50.29;no;no;489411.4;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia scolastica;None;2008-11-27;37.262436547565;15.1488281223169;via gramsci;663.5612903109279
regione siciliana;2016;b;15.86;si;si;1065535.93;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia scolastica;None;2009-01-29;37.262436547565;15.1488281223169;cda salina;663.5612903109279
regione siciliana;2016;a;7.32;no;no;151000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2017-03-29;37.262436547565;15.1488281223169;via buozzi;663.5612903109279
regione siciliana;2016;a;8.25;si;no;284505.12;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;si;2004-10-26;37.1544836894666;13.9190259659519;None;654.6655568348767
regione siciliana;2016;a;39.09;no;si;566432.09;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-09-27;37.1544836894666;13.9190259659519;via corso umberto ii;654.6655568348767
regione siciliana;2016;a;37.61;si;si;553566.95;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-09-27;37.1544836894666;13.9190259659519;via pastrengo;654.6655568348767
regione siciliana;2016;a;84.13;no;si;5277864.69;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;infrastrutture civili per aree industriali;None;2006-08-04;37.1917263068008;14.1293575185939;contrada burgio;652.9367151724085
regione siciliana;2016;a;25.88;no;si;340659.89;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture per attrezzature di aree produttive;si;2010-07-28;37.1917263068008;14.1293575185939;contrada burgio;652.9367151724085
regione siciliana;2016;b;22.98;None;None;447500.11;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2005-06-17;37.2778879544165;14.4243965976854;None;647.6588024826157
regione siciliana;2016;a;94.61;no;si;41478137.86;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;dighe;None;2011-07-27;37.4209778027812;14.4976311815318;territorio dei comuni aidone (en) e mineo (ct);633.2282478852771
regione siciliana;2016;b;2.01;None;None;126224.49;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;sistemi di parcheggio;si;2016-03-31;37.3221373540798;13.5662379030609;piazzale rosselli;633.1758331301132
regione siciliana;2016;a;36.51;no;no;1149942.2;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;reti idriche urbane;None;2017-03-31;37.5287626973188;14.93740247276;localit? ficominutilla;630.1398232790809
regione siciliana;2016;b;19.16;si;no;474107.43;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;residenze sanitarie assistenziali;None;2013-11-20;37.5287626973188;14.93740247276;via anna frank;630.1398232790809
regione siciliana;2016;a;20.49;si;None;334998.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2016-03-24;37.6223328185339;15.0956095507008;via sapienza;623.7513495212331
regione siciliana;2016;b;12.88;None;si;84893.97;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altri impianti produzione energie rinnovabili e alternative;si;2013-12-03;37.4220566058414;13.686114757981;via acquanova;622.962665746406
regione siciliana;2016;a;45.95;si;si;1360472.55;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia sociale, culturale e assistenziale;None;2016-03-30;37.509703734936;14.3910777807741;via cusmano;621.7744472884957
ministero delle infrastrutture e dei trasporti - dipartimento per i trasporti, la navigazione, gli affari generali e del personale;2016;a;41.53;no;si;38861.47;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;laboratori attrezzati per la ricerca;None;2015-03-23;37.6600043182858;14.952626583107;contrada zappinata localita' serra la nave;616.3665818612066
regione siciliana;2016;b;14.57;None;None;1120927.68;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2011-11-24;37.71867068802;15.1679503047927;via trieste, loc jungo;615.2526805479229
regione siciliana;2016;b;27.33;si;no;133828.96;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2014-03-26;37.4953957686569;13.4216027082497;via papa giovanni xxiii n? 9;613.1265116418743
regione siciliana;2016;b;54.38;si;None;774686.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade rurali;None;2014-04-03;37.5181985229119;13.3228663843621;pozzillo;610.16242950003
regione siciliana;2016;a;42.35;si;None;661065.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade rurali;None;2014-04-03;37.5181985229119;13.3228663843621;catalano;610.16242950003
regione siciliana;2016;a;31.24;no;si;806535.28;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2006-10-30;37.5456706101071;13.4641980957476;None;607.7679862209437
regione siciliana;2016;b;50.0;si;None;1415000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-06-13;37.6762523638812;14.1219486400886;via san filippo;599.5455398452852
regione siciliana;2016;b;41.43;si;None;1415000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre strutture ricreative;si;2010-06-24;37.6762523638812;14.1219486400886;via aldo moro;599.5455398452852
regione siciliana;2016;b;38.11;si;no;6700000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2016-03-30;37.9047427462698;15.3056972785409;territorio gallodoro-letojanni;599.146918443057
regione siciliana;2016;c;85.39;no;no;12063553.5;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;piste ciclabili;None;2017-06-26;37.855872401964;15.0839455752636;strada costa;598.5247148646484
regione siciliana;2016;c;45.22;si;no;1238183.88;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia sociale, culturale e assistenziale;None;2017-06-26;37.855872401964;15.0839455752636;via rosario cimino (c/da arzilla);598.5247148646484
regione siciliana;2016;a;20.39;si;no;273600.14;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia sociale, culturale e assistenziale;None;2017-06-26;37.855872401964;15.0839455752636;localita' san vincenzo;598.5247148646484
regione siciliana;2016;a;50.0;si;None;1000000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2015-06-23;37.9050696082579;15.2575748516529;contrada incenzo;597.8017866162019
regione siciliana;2016;a;0.0;si;no;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2016-03-25;37.7025334137285;14.1204843461582;via facitelli;596.6378061195403
regione siciliana;2016;a;0.0;si;no;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2016-03-25;37.7025334137285;14.1204843461582;via stazzone;596.6378061195403
regione siciliana;2016;b;21.77;None;None;278303.13;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;chiese ed altri luoghi di culto;None;2013-11-28;37.6554527335716;13.1140480719142;via zona di trasferimento;594.3649940739992
regione siciliana;2016;b;8.08;None;None;127537.92;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-11-28;37.6554527335716;13.1140480719142;via zona di trasferimento;594.3649940739992
regione calabria;2016;c;40.91;si;no;2098918.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;teatri ed altre strutture per lo spettacolo;None;2014-09-22;38.2864542444162;16.2758905419366;via amendola;592.4114100150042
regione siciliana;2016;b;27.59;no;no;101066.31;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2013-07-12;37.7300878944873;13.9881316026472;catalani;591.9241897169321
regione siciliana;2016;b;46.86;si;None;335129.45;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2014-03-13;37.9992759054311;15.3313109602563;via panoramica;589.8924479616181
regione siciliana;2016;a;49.42;si;None;2595483.54;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;consolidamento abitati;None;2010-07-02;37.7839516738072;14.1265153883274;frazioni di madonnuzza, raffo, pellizzara, cipampini, gulini e fasan?;587.7751439293171
regione siciliana;2016;a;37.91;si;None;7301517.21;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere stradali;None;2010-07-02;37.7839516738072;14.1265153883274;frazione madonnuzza;587.7751439293171
regione siciliana;2016;a;0.0;si;None;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere stradali;None;2010-07-02;37.7839516738072;14.1265153883274;frazione madonnuzza;587.7751439293171
regione siciliana;2016;a;0.0;si;None;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere stradali;None;2010-07-02;37.7839516738072;14.1265153883274;frazione madonnuzza;587.7751439293171
regione siciliana;2016;b;2.93;no;si;27248.82;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2016-03-22;38.0437680093241;15.4036964379685;via spirito santo;587.2945050585226
regione siciliana;2016;c;67.82;None;None;844055.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;reti idriche rurali;None;2013-10-21;37.7719228714895;13.9710433963543;area esterna centro abitato;587.1118396767725
regione siciliana;2016;b;35.54;si;None;645138.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2010-06-22;37.7719228714895;13.9710433963543;contrada portella delle piante;587.1118396767725
regione siciliana;2016;a;29.66;si;None;619748.83;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-09-24;37.8670681493696;14.4872403810894;via enrico berlinguer;584.442450516634
regione siciliana;2016;b;2.76;si;no;85080.76;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2013-11-08;37.8670681493696;14.4872403810894;localit? timpe russo;584.442450516634
regione siciliana;2016;a;59.54;si;no;654925.7;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-09-26;38.0161931611718;15.1290922749536;pianostretto;582.6166019156929
regione siciliana;2016;a;50.94;si;no;662355.97;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-09-26;38.0161931611718;15.1290922749536;contrada "madala;582.6166019156929
regione siciliana;2016;b;14.1;no;no;4969070.4;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;nazionale;dighe;None;2015-09-23;37.8001258884747;13.316816996221;cda: piano del campo;578.8203192431222
regione siciliana;2016;c;55.21;si;si;1715196.63;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2013-01-21;38.0604794922609;15.0649791451205;c/de carrozzo - larderia;576.2563956650574
regione siciliana;2016;c;38.55;si;si;961843.13;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;infrastrutture civili per aree industriali;None;2013-01-21;38.0604794922609;15.0649791451205;c/da pezzagrande;576.2563956650574
regione siciliana;2016;c;28.9;si;si;620296.1;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture per attrezzature di aree produttive;None;2013-01-21;38.0604794922609;15.0649791451205;c/da pezzagrande;576.2563956650574
regione siciliana;2016;b;68.27;si;si;721680.67;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strutture per la fruizione del patrimonio ambientale;None;2007-04-13;38.1356567754449;15.3375930845803;cascate cataolo;575.7360913778301
regione siciliana;2016;a;5.44;si;None;1265319.4;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2013-11-25;37.9882346849568;14.7084438914317;cozzo bruno;575.6664749161368
regione siciliana;2016;b;3.8;None;None;43054.54;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-11-25;37.9882346849568;14.7084438914317;cda grazia;575.6664749161368
regione sardegna;2016;c;55.86;None;None;519862.69;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture per attrezzature di aree produttive;None;2006-06-29;38.9699247536204;8.72774773334173;None;573.7738637930105
regione siciliana;2016;b;0.21;no;no;14004.33;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia abitativa;None;2013-12-13;37.8938565241366;13.8231291619409;c/da malluta;572.0247686502847
regione siciliana;2016;a;100.0;si;None;710916.91;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2013-10-14;37.8628515304079;12.8377193480935;---;571.3896086242547
regione siciliana;2016;a;58.64;si;None;509958.32;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di protezione, valorizzazione e fruizione ambientale;None;2013-10-14;37.8628515304079;12.8377193480935;via "comuna;571.3896086242547
regione siciliana;2016;a;65.5;no;si;1624786.04;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;reti fognarie;si;2006-08-07;38.2055574038977;15.3923800300801;territorio comunale;570.0253436914929
regione siciliana;2016;a;18.67;si;no;293672.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia sociale;None;2013-12-11;38.1831556432706;15.2770601736024;via la scala;569.0101085588102
regione siciliana;2016;a;0.0;si;si;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia sociale;None;2013-12-11;38.1831556432706;15.2770601736024;via f arena;569.0101085588102
regione autonoma valle d'aosta;2016;a;54.2;no;no;607676.84;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2013-06-18;45.7008341700604;6.92115873904527;via m collomb;568.807116840046
